case,t,l,N,B,R,rho,Tkk_min,flux,theta_plus,theta_minus,K_l,K_ang,tidal_ang
static_B3_long_throat,2.7,0.0,1.0,3.0,1.0,0.030947678507423523,-0.008841057265550312,-0.0,0.0,0.0,-0.0,-0.0,-0.0
static_B3_long_throat,2.7,0.25,1.0,2.9988082623052845,1.0307764064044151,0.029352020281629098,-0.007851269123177592,-0.0,0.15691813305172542,-0.15691813305172542,-0.0,-0.0,-0.0
static_B3_long_throat,2.7,1.6000000000000005,1.0,1.735758882342884,1.8867962264113212,-0.00615361080093921,-0.014662639285710058,-0.0,0.5178558308601242,-0.5178558308601242,-0.0,-0.0,-1.05993609634309e-15
static_B3_long_throat,2.75,0.0,1.0,3.0,1.0,0.030947678507423523,-0.008841057265550312,-0.0,0.0,0.0,-0.0,-0.0,-0.0
static_B3_long_throat,2.75,0.25,1.0,2.9988082623052845,1.0307764064044151,0.029352020281629098,-0.007851269123177592,-0.0,0.15691813305172542,-0.15691813305172542,-0.0,-0.0,-0.0
static_B3_long_throat,2.75,1.6000000000000005,1.0,1.735758882342884,1.8867962264113212,-0.00615361080093921,-0.014662639285710058,-0.0,0.5178558308601242,-0.5178558308601242,-0.0,-0.0,-1.05993609634309e-15
static_B3_long_throat,2.8,0.0,1.0,3.0,1.0,0.030947678507423523,-0.008841057265550312,-0.0,0.0,0.0,-0.0,-0.0,-0.0
static_B3_long_throat,2.8,0.25,1.0,2.9988082623052845,1.0307764064044151,0.029352020281629098,-0.007851269123177592,-0.0,0.15691813305172542,-0.15691813305172542,-0.0,-0.0,-0.0
static_B3_long_throat,2.8,1.6000000000000005,1.0,1.735758882342884,1.8867962264113212,-0.00615361080093921,-0.014662639285710058,-0.0,0.5178558308601242,-0.5178558308601242,-0.0,-0.0,-1.05993609634309e-15
static_B3_long_throat,2.8500000000000005,0.0,1.0,3.0,1.0,0.030947678507423523,-0.008841057265550312,-0.0,0.0,0.0,-0.0,-0.0,-0.0
static_B3_long_throat,2.8500000000000005,0.25,1.0,2.9988082623052845,1.0307764064044151,0.029352020281629098,-0.007851269123177592,-0.0,0.15691813305172542,-0.15691813305172542,-0.0,-0.0,-0.0
static_B3_long_throat,2.8500000000000005,1.6000000000000005,1.0,1.735758882342884,1.8867962264113212,-0.00615361080093921,-0.014662639285848177,-6.905989850991688e-14,0.5178558308601242,-0.5178558308601242,-0.0,-0.0,-1.05993609634309e-15
static_B3_long_throat,2.9000000000000004,0.0,1.0,3.0,1.0,0.030947678507423523,-0.008841057265550312,-0.0,0.0,0.0,-0.0,-0.0,-0.0
static_B3_long_throat,2.9000000000000004,0.25,1.0,2.9988082623052845,1.0307764064044151,0.029352020281629098,-0.007851269123177592,-0.0,0.15691813305172542,-0.15691813305172542,-0.0,-0.0,-0.0
static_B3_long_throat,2.9000000000000004,1.6000000000000005,1.0,1.735758882342884,1.8867962264113212,-0.00615361080093921,-0.014662639285710058,-0.0,0.5178558308601242,-0.5178558308601242,-0.0,-0.0,-1.05993609634309e-15
static_B3_long_throat,2.95,0.0,1.0,3.0,1.0,0.030947678507423523,-0.008841057265550312,-0.0,0.0,0.0,-0.0,-0.0,-0.0
static_B3_long_throat,2.95,0.25,1.0,2.9988082623052845,1.0307764064044151,0.029352020281629098,-0.007851269123177592,-0.0,0.15691813305172542,-0.15691813305172542,-0.0,-0.0,-0.0
static_B3_long_throat,2.95,1.6000000000000005,1.0,1.735758882342884,1.8867962264113212,-0.00615361080093921,-0.014662639285710058,-0.0,0.5178558308601242,-0.5178558308601242,-0.0,-0.0,-1.05993609634309e-15
static_B3_long_throat,3.0,0.0,1.0,3.0,1.0,0.030947678507423523,-0.008841057265550312,-0.0,0.0,0.0,-0.0,-0.0,-0.0
static_B3_long_throat,3.0,0.25,1.0,2.9988082623052845,1.0307764064044151,0.029352020281629098,-0.007851269123177592,-0.0,0.15691813305172542,-0.15691813305172542,-0.0,-0.0,-0.0
static_B3_long_throat,3.0,1.6000000000000005,1.0,1.735758882342884,1.8867962264113212,-0.00615361080093921,-0.014662639285710058,-0.0,0.5178558308601242,-0.5178558308601242,-0.0,-0.0,-1.05993609634309e-15
static_B3_long_throat,3.05,0.0,1.0,3.0,1.0,0.030947678507423523,-0.008841057265550312,-0.0,0.0,0.0,-0.0,-0.0,-0.0
static_B3_long_throat,3.05,0.25,1.0,2.9988082623052845,1.0307764064044151,0.029352020281629098,-0.007851269123177592,-0.0,0.15691813305172542,-0.15691813305172542,-0.0,-0.0,-0.0
static_B3_long_throat,3.05,1.6000000000000005,1.0,1.735758882342884,1.8867962264113212,-0.00615361080093921,-0.014662639285710058,-0.0,0.5178558308601242,-0.5178558308601242,-0.0,-0.0,-1.05993609634309e-15
static_B3_long_throat,3.1000000000000005,0.0,1.0,3.0,1.0,0.030947678507423523,-0.008841057265550312,-0.0,0.0,0.0,-0.0,-0.0,-0.0
static_B3_long_throat,3.1000000000000005,0.25,1.0,2.9988082623052845,1.0307764064044151,0.029352020281629098,-0.007851269123177592,-0.0,0.15691813305172542,-0.15691813305172542,-0.0,-0.0,-0.0
static_B3_long_throat,3.1000000000000005,1.6000000000000005,1.0,1.735758882342884,1.8867962264113212,-0.00615361080093921,-0.014662639285848177,-6.905989850991688e-14,0.5178558308601242,-0.5178558308601242,-0.0,-0.0,-1.05993609634309e-15
static_B3_long_throat,3.1500000000000004,0.0,1.0,3.0,1.0,0.030947678507423523,-0.008841057265550312,-0.0,0.0,0.0,-0.0,-0.0,-0.0
static_B3_long_throat,3.1500000000000004,0.25,1.0,2.9988082623052845,1.0307764064044151,0.029352020281629098,-0.007851269123177592,-0.0,0.15691813305172542,-0.15691813305172542,-0.0,-0.0,-0.0
static_B3_long_throat,3.1500000000000004,1.6000000000000005,1.0,1.735758882342884,1.8867962264113212,-0.00615361080093921,-0.014662639285710058,-0.0,0.5178558308601242,-0.5178558308601242,-0.0,-0.0,-1.05993609634309e-15
static_B3_long_throat,3.2,0.0,1.0,3.0,1.0,0.030947678507423523,-0.008841057265550312,-0.0,0.0,0.0,-0.0,-0.0,-0.0
static_B3_long_throat,3.2,0.25,1.0,2.9988082623052845,1.0307764064044151,0.029352020281629098,-0.007851269123177592,-0.0,0.15691813305172542,-0.15691813305172542,-0.0,-0.0,-0.0
static_B3_long_throat,3.2,1.6000000000000005,1.0,1.735758882342884,1.8867962264113212,-0.00615361080093921,-0.014662639285710058,-0.0,0.5178558308601242,-0.5178558308601242,-0.0,-0.0,-1.05993609634309e-15
static_B3_long_throat,3.25,0.0,1.0,3.0,1.0,0.030947678507423523,-0.008841057265550312,-0.0,0.0,0.0,-0.0,-0.0,-0.0
static_B3_long_throat,3.25,0.25,1.0,2.9988082623052845,1.0307764064044151,0.029352020281629098,-0.007851269123177592,-0.0,0.15691813305172542,-0.15691813305172542,-0.0,-0.0,-0.0
static_B3_long_throat,3.25,1.6000000000000005,1.0,1.735758882342884,1.8867962264113212,-0.00615361080093921,-0.014662639285710058,-0.0,0.5178558308601242,-0.5178558308601242,-0.0,-0.0,-1.05993609634309e-15
static_B3_long_throat,3.3,0.0,1.0,3.0,1.0,0.030947678507423523,-0.008841057265550312,-0.0,0.0,0.0,-0.0,-0.0,-0.0
static_B3_long_throat,3.3,0.25,1.0,2.9988082623052845,1.0307764064044151,0.029352020281629098,-0.007851269123177592,-0.0,0.15691813305172542,-0.15691813305172542,-0.0,-0.0,-0.0
static_B3_long_throat,3.3,1.6000000000000005,1.0,1.735758882342884,1.8867962264113212,-0.00615361080093921,-0.014662639285710058,-0.0,0.5178558308601242,-0.5178558308601242,-0.0,-0.0,-1.05993609634309e-15
static_B3_long_throat,3.3500000000000005,0.0,1.0,3.0,1.0,0.030947678507423523,-0.008841057265550312,-0.0,0.0,0.0,-0.0,-0.0,-0.0
static_B3_long_throat,3.3500000000000005,0.25,1.0,2.9988082623052845,1.0307764064044151,0.029352020281629098,-0.007851269123177592,-0.0,0.15691813305172542,-0.15691813305172542,-0.0,-0.0,-0.0
static_B3_long_throat,3.3500000000000005,1.6000000000000005,1.0,1.735758882342884,1.8867962264113212,-0.00615361080093921,-0.014662639285848177,-6.905989850991688e-14,0.5178558308601242,-0.5178558308601242,-0.0,-0.0,-1.05993609634309e-15
static_B3_long_throat,3.4000000000000004,0.0,1.0,3.0,1.0,0.030947678507423523,-0.008841057265550312,-0.0,0.0,0.0,-0.0,-0.0,-0.0
static_B3_long_throat,3.4000000000000004,0.25,1.0,2.9988082623052845,1.0307764064044151,0.029352020281629098,-0.007851269123177592,-0.0,0.15691813305172542,-0.15691813305172542,-0.0,-0.0,-0.0
static_B3_long_throat,3.4000000000000004,1.6000000000000005,1.0,1.735758882342884,1.8867962264113212,-0.00615361080093921,-0.014662639285710058,-0.0,0.5178558308601242,-0.5178558308601242,-0.0,-0.0,-1.05993609634309e-15
static_B3_long_throat,3.45,0.0,1.0,3.0,1.0,0.030947678507423523,-0.008841057265550312,-0.0,0.0,0.0,-0.0,-0.0,-0.0
static_B3_long_throat,3.45,0.25,1.0,2.9988082623052845,1.0307764064044151,0.029352020281629098,-0.007851269123177592,-0.0,0.15691813305172542,-0.15691813305172542,-0.0,-0.0,-0.0
static_B3_long_throat,3.45,1.6000000000000005,1.0,1.735758882342884,1.8867962264113212,-0.00615361080093921,-0.014662639285710058,-0.0,0.5178558308601242,-0.5178558308601242,-0.0,-0.0,-1.05993609634309e-15
static_B3_long_throat,3.5,0.0,1.0,3.0,1.0,0.030947678507423523,-0.008841057265550312,-0.0,0.0,0.0,-0.0,-0.0,-0.0
static_B3_long_throat,3.5,0.25,1.0,2.9988082623052845,1.0307764064044151,0.029352020281629098,-0.007851269123177592,-0.0,0.15691813305172542,-0.15691813305172542,-0.0,-0.0,-0.0
static_B3_long_throat,3.5,1.6000000000000005,1.0,1.735758882342884,1.8867962264113212,-0.00615361080093921,-0.014662639285710058,-0.0,0.5178558308601242,-0.5178558308601242,-0.0,-0.0,-1.05993609634309e-15
static_B3_long_throat,3.55,0.0,1.0,3.0,1.0,0.030947678507423523,-0.008841057265550312,-0.0,0.0,0.0,-0.0,-0.0,-0.0
static_B3_long_throat,3.55,0.25,1.0,2.9988082623052845,1.0307764064044151,0.029352020281629098,-0.007851269123177592,-0.0,0.15691813305172542,-0.15691813305172542,-0.0,-0.0,-0.0
static_B3_long_throat,3.55,1.6000000000000005,1.0,1.735758882342884,1.8867962264113212,-0.00615361080093921,-0.014662639285710058,-0.0,0.5178558308601242,-0.5178558308601242,-0.0,-0.0,-1.05993609634309e-15
static_B3_long_throat,3.6000000000000005,0.0,1.0,3.0,1.0,0.030947678507423523,-0.008841057265550312,-0.0,0.0,0.0,-0.0,-0.0,-0.0
static_B3_long_throat,3.6000000000000005,0.25,1.0,2.9988082623052845,1.0307764064044151,0.029352020281629098,-0.007851269123177592,-0.0,0.15691813305172542,-0.15691813305172542,-0.0,-0.0,-0.0
static_B3_long_throat,3.6000000000000005,1.6000000000000005,1.0,1.735758882342884,1.8867962264113212,-0.00615361080093921,-0.014662639285848177,-6.905989850991688e-14,0.5178558308601242,-0.5178558308601242,-0.0,-0.0,-1.05993609634309e-15
static_B3_long_throat,3.6500000000000004,0.0,1.0,3.0,1.0,0.030947678507423523,-0.008841057265550312,-0.0,0.0,0.0,-0.0,-0.0,-0.0
